  学号       姓名 性别   学院名称 成绩1 成绩2 成绩3 成绩4 成绩5 成绩6 成绩7 成绩8 成绩9 成绩10 
140008     危耿锂   女   艺术学院    90    91    84    92    80    61    60    72    91    69 
140010     吴祷举   女   艺术学院   100    98    93    95    88    77    99    72    85    99 
140502     伍煅居   男   数理学院    99    93    88    72    66    84    65    70    64    63 
140310     邢端地   男   文法学院    91     3    40    71    60    10    67    60    27    73 
140704     许焕广   男   化工学院    89    86    62    76    64   100    80    79    96    73 
140202     叶建林   男 计算机学院    71    97    76    92    76    94    84    63    64    87 
140801     俞筹浩   男     商学院    75    79    70    90   100    73    68    65    73    97 
140901     俞法复   男   航空学院    68    97    87    64    76    73    87    97    83    92 
140006     袁郸鹤   男   艺术学院    69    70    94    71    65    89    78    86    84    81 
140903     张积京   男   航空学院    78    65    77    82    98    64    77    64    94    94 
140409     甄宽观   女 外国语学院    74    33    91    38    25    51    14    10    86    60 
140909     周桓环   男   航空学院    19    30    21    47    20    99    65    22     3    61 
140107     周律枫   女   信息学院    43    69    58    98    72    30    49    66    87    67 
140504     诸秉栊   男   数理学院    71    80    60    94    68    87    93    72    90    90 
140702     诸火管   男   化工学院    72    79    63    90    93    63    69    80    94    97 
140507     祝奎斑   男   数理学院    74   100    89   100    70    91    91    82    96    84 
140808     卓葛贵   女     商学院    97    73    78    85    66    62    95    73    90    90 
140707     邹荆辟   男   化工学院    88    80    72    78    62    66    92    97    65    74 
140403     邬贵键   男 外国语学院    68    69    76    71    72    93    65    70    89    85 
140209     酆谅卢   女 计算机学院    24    56     1    62    17    17    11    15    13    44 
140009     芮瀚火   男   艺术学院    80    97    89    76    97    71    94    73    84    65 
140709     奚留绰   女   化工学院    79    60   100    91    64    86    92    89    72    89 
140206     宓强进   男 计算机学院    79    87    81    96    66    83    67    75    75    95 
140906     贲琮看   男   航空学院    83    61    81    74    91    68    87    97    60    68 
140902     嵇灿处   男   航空学院    91    96    85    82    69    83    79    74    82    94 
140905     嵇鸿连   男   航空学院    88    98    61    66    97    65    97    88    66    92 
140804     嵇砥加   男     商学院    91    72    87    61    64    66   100    61    67    83 
140705     褚磊并   男   化工学院    87    69    93    83    61    86    87    62    80    62 
140509     胥勃雕   男   数理学院     9    37    35     5    27    93    94    73     3    60 
140706     裘顾昂   男   化工学院    86    79    71    64    62   100    71    96   100    90 
